Linux 4.15.0-121-generic (node1.pango-4.cloudslostore-pg0.utah.cloudlab.us) 	11/30/2020 	_x86_64_	(20 CPU)

12:40:52 AM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:40:53 AM 20001      7331      0.00      4.00      0.00       0  mongod
12:40:54 AM 20001      7331      0.00    140.00      0.00       0  mongod
12:40:55 AM 20001      7331      0.00     24.00      0.00       0  mongod
12:40:56 AM 20001      7331      0.00      0.00      0.00       0  mongod
12:40:57 AM 20001      7331      0.00      0.00      0.00       0  mongod
12:40:58 AM 20001      7331      0.00      0.00      0.00       0  mongod
12:40:59 AM 20001      7331      0.00      0.00      0.00       0  mongod
12:41:00 AM 20001      7331      0.00  13156.00      0.00       0  mongod
12:41:01 AM 20001      7331      0.00  19380.00      0.00       0  mongod
12:41:02 AM 20001      7331      0.00  19212.00      0.00       0  mongod
12:41:03 AM 20001      7331      0.00  19417.82      0.00       0  mongod
12:41:04 AM 20001      7331      0.00  20120.00      0.00       0  mongod
12:41:05 AM 20001      7331      0.00  18704.00      0.00       0  mongod
12:41:06 AM 20001      7331      0.00  19480.00      0.00       0  mongod
12:41:07 AM 20001      7331      0.00  19384.00      0.00       0  mongod
12:41:08 AM 20001      7331      0.00  19216.00      0.00       0  mongod
12:41:09 AM 20001      7331      0.00  18896.00      0.00       0  mongod
12:41:10 AM 20001      7331      0.00  19228.00      0.00       0  mongod
12:41:11 AM 20001      7331      0.00  19304.00      0.00       0  mongod
12:41:12 AM 20001      7331      0.00  18832.00      0.00       0  mongod
12:41:13 AM 20001      7331      0.00  18904.00      0.00       0  mongod
12:41:14 AM 20001      7331      0.00  18616.00      0.00       0  mongod
12:41:15 AM 20001      7331      0.00  19744.00     20.00       0  mongod
12:41:16 AM 20001      7331      0.00  19460.00      0.00       0  mongod
12:41:17 AM 20001      7331      0.00  19376.00      0.00       0  mongod
12:41:18 AM 20001      7331      0.00  19412.00      0.00       0  mongod
12:41:19 AM 20001      7331      0.00  17748.00      0.00       0  mongod
12:41:20 AM 20001      7331      0.00  19456.00      0.00       0  mongod
12:41:21 AM 20001      7331      0.00  19716.00      0.00       0  mongod
12:41:22 AM 20001      7331      0.00  19036.00      0.00       0  mongod
12:41:23 AM 20001      7331      0.00  19576.00      0.00       0  mongod
12:41:24 AM 20001      7331      0.00  18156.00      0.00       0  mongod
12:41:25 AM 20001      7331      0.00  20040.00      0.00       0  mongod
12:41:26 AM 20001      7331      0.00  19512.00      0.00       0  mongod
12:41:27 AM 20001      7331      0.00  19456.00      0.00       0  mongod
12:41:28 AM 20001      7331      0.00 245428.00      0.00       0  mongod
12:41:29 AM 20001      7331      0.00  12868.00      0.00       0  mongod
